step,time_s,stage,active_target,interceptor_x,interceptor_y,interceptor_z,interceptor_vx,interceptor_vy,interceptor_vz,rmse_m,detection_fps,Target_1_pos_x,Target_1_est_x,Target_1_meas_x,Target_1_pos_y,Target_1_est_y,Target_1_meas_y,Target_1_pos_z,Target_1_est_z,Target_1_meas_z,Target_1_threat,Target_1_spoofed,Target_1_jammed,Target_2_pos_x,Target_2_est_x,Target_2_meas_x,Target_2_pos_y,Target_2_est_y,Target_2_meas_y,Target_2_pos_z,Target_2_est_z,Target_2_meas_z,Target_2_threat,Target_2_spoofed,Target_2_jammed,Target_3_pos_x,Target_3_est_x,Target_3_meas_x,Target_3_pos_y,Target_3_est_y,Target_3_meas_y,Target_3_pos_z,Target_3_est_z,Target_3_meas_z,Target_3_threat,Target_3_spoofed,Target_3_jammed
0,0.0,DETECTING,Target_2,1.007627403775517,-0.016677923704658048,110.00096394761016,20.15254807551034,-0.333558474093161,0.019278952203320446,0.6342484581825051,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
1,0.05,DETECTING,Target_2,2.0225464209382027,-0.04904102390688078,110.00285294146259,20.298380343253715,-0.6472620040444546,0.03777987704852964,0.744593718761647,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
2,0.1,DETECTING,Target_2,3.0444493655963822,-0.0961057227587957,110.00561018274956,20.43805889316359,-0.9412939770382984,0.05514482573944576,0.6866613835579104,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
3,0.15000000000000002,DETECTING,Target_2,4.073037194874145,-0.15695919431208458,110.009180092533,20.57175658555525,-1.2170694310657775,0.07139819566862353,0.499574766196943,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
4,0.2,DETECTING,Target_2,5.108021238425245,-0.2307482134111643,110.01351795854438,20.69968087102201,-1.4757803819815942,0.08675732022770398,0.40938067395627786,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
5,0.25,DETECTING,Target_2,6.149131384116695,-0.31664490850245375,110.01858757783067,20.822202913828995,-1.7179339018257889,0.10139238572584786,0.32069330892158504,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
6,0.30000000000000004,DETECTING,Target_2,7.196104212324952,-0.4138861450218843,110.02434881019406,20.93945656416515,-1.9448247303886115,0.11522464726771076,0.3125746408533781,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
7,0.35000000000000003,DETECTING,Target_2,8.248696280781108,-0.521719987586925,110.03075896387783,21.051841369123114,-2.156676851300812,0.1282030736756064,0.3396886119156043,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
8,0.4,DETECTING,Target_2,9.30667993229007,-0.6394185266832721,110.03773434405338,21.15967303017925,-2.3539707819269444,0.1395076035108213,0.48714979677062165,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
9,0.45,DETECTING,Target_2,10.369835584011316,-0.7662996707459325,110.04520191386331,21.263113034424926,-2.537622881253207,0.14935139619873827,0.6179856760468491,45.78,294.5587553764116,77.83534405849288,134.6246174656003,294.625786682268,77.20192895322157,134.67614081632112,294.5549154459478,78.06413604284141,135.07649657456847,10.0,0,0,276.7934377851819,0.9673789779288741,113.38866819784317,276.9944748970643,0.5658911658463093,113.31476313053744,276.5809869702981,0.9731401190374094,112.58145174605052,10.0,0,0,273.5997330976527,126.5115343238521,101.56566050600696,274.1030432069062,126.50428893248117,101.53233990632323,274.1120751758797,126.64951494163813,101.18943931909826,5.453935550791384,0,0
